"FW"	"DW"	"trial"
"P048xF047"	582.741594886965	198.161041	2010
"P048xF055"	433.086731286545	110.350555	2010
"P048xF090"	539.117594680747	170.742584	2010
"P048xF101"	431.34916708586	147.771118	2010
"P048xF103"	526.643425148158	175.891037	2010
"P048xF104"	476.914084647921	150.745377	2010
"P048xF117"	454.059696269377	140.077271	2010
"P048xF124"	523.006959024136	162.580948	2010
"P048xF134"	534.874149683077	168.271515	2010
"P048xF136"	441.92822873032	151.245361	2010
"P048xF138"	489.022531754309	160.400879	2010
"P092xF047"	612.86658085325	195.179153	2010
"P092xF055"	524.772016112685	167.691528	2010
"P092xF062"	566.445439748147	189.078262	2010
"P092xF072"	583.586658424161	169.22644	2010
"P092xF087"	517.195136638337	165.755829	2010
"P092xF090"	486.871164771957	151.365005	2010
"P092xF101"	541.618049660367	173.692093	2010
"P092xF103"	527.986161596586	144.292374	2010
"P092xF104"	598.36372742008	176.891174	2010
"P092xF117"	568.090788007833	143.412964	2010
"P092xF124"	567.570728415916	167.507812	2010
"P092xF134"	495.581804876639	149.291183	2010
"P092xF136"	509.086907615586	160.210724	2010
"P092xF137"	611.381073621006	158.421021	2010
"P092xF138"	583.000839958406	187.630066	2010
"P135xF055"	556.427441491131	180.818329	2010
"P135xF062"	409.258101152514	150.275864	2010
"P135xF072"	494.429605098774	157.387222	2010
"P135xF087"	424.979371340388	157.963333	2010
"P135xF090"	418.690542052065	131.583466	2010
"P135xF099"	537.823366539561	161.492645	2012
"P135xF103"	459.787829756019	150.888596	2010
"P135xF117"	546.303539017002	180.198059	2010
"P135xF124"	546.573159772739	196.630249	2010
"P135xF134"	484.339625830211	148.424698	2010
"P135xF136"	489.055675396053	159.914139	2010
"P135xF137"	505.687140272075	148.296143	2010
"P135xF145"	506.282038296018	185.09166	2012
"P135xF151"	516.967640885338	176.210861	2012
"P135xF154"	644.526287322582	218.028183	2012
"P135xF157"	594.921993676723	225.201477	2012
"P135xF159"	752.212058821483	245.540634	2012
"P135xF160"	658.104389226488	249.514938	2012
"P135xF161"	674.510937141853	203.797318	2012
"P135xF162"	604.031425936316	201.561386	2012
"P135xF169"	507.627673230531	179.829849	2012
"P140xF055"	589.151062122823	170.055374	2010
"P140xF062"	655.332641000195	171.357071	2010
"P140xF072"	745.192915637659	197.835907	2010
"P140xF087"	611.807513347477	196.395477	2010
"P140xF090"	650.032116492808	193.596939	2010
"P140xF099"	771.791013798802	248.697189	2012
"P140xF103"	709.260872890027	183.755219	2010
"P140xF117"	595.445269789151	177.145172	2010
"P140xF124"	573.454711061809	164.237076	2010
"P140xF134"	576.287548587345	158.789001	2010
